Unnamed: 0,content,annotation,label
3040,THAT'S AN UGLY ASS PICTURE!,"{'notes': '', 'label': ['1']}",1
11061,I went mac in 12/2006 and now have 3 (selling 2  buying 1 more .. so net 2 by Jan I hope). I LOVE my macs and HATE my work PC :),"{'notes': '', 'label': ['0']}",0
4892,Judge Chevere at the Daley Center..she's hispanic and a bad ass! Too bad i'd never want to go to law school..,"{'notes': '', 'label': ['1']}",1
7737,@ryanruppe damn you...,"{'notes': '', 'label': ['1']}",1
17480, What annoys you most about living at home with your family?,"{'notes': '', 'label': ['0']}",0
9502,damn  that sucks for youuuuu,"{'notes': '', 'label': ['0']}",0
7013,fat ol santa may eat a cookie  but he will also touch the youngest while they sleep.,"{'notes': '', 'label': ['1']}",1
5670,when can I meet your uncle??? Maybe he could give a wiki demo to our loser peeps!?,"{'notes': '', 'label': ['1']}",1
15468, girl  your perfect. from your eyes  to your smile  your all i think about[: i loved you from the day we met. your life is amazing ~chris~,"{'notes': '', 'label': ['0']}",0
13271,yeah he's gettin whiny...and her dads gf is about to get popped in the mouth! can't stand that bitch!,"{'notes': '', 'label': ['0']}",0
10954,damn  scott just said naughty things,"{'notes': '', 'label': ['0']}",0
2058,Y'know  it's very stereotyped emo.. I know plenty of older people who follow the trend / cult the whole way.,"{'notes': '', 'label': ['1']}",1
5188,FUCKING ELLAS A RETARDED CUNT ALOT OF PEOPLE COULD DO A BETETER JOB THEN HERE SHES RACIST AGAINST BLACKS,"{'notes': '', 'label': ['1']}",1
12733,I need to get my grandma to teach me how to cook that they be so good. and them damn collard greens fresh out the garden,"{'notes': '', 'label': ['0']}",0
7166,point taken. fuck.,"{'notes': '', 'label': ['1']}",1
13026,I hope you're fucking right now. Birthday sex for the win!,"{'notes': '', 'label': ['0']}",0
7272,i bitch slapped my cousin once.,"{'notes': '', 'label': ['1']}",1
7123,Neat. Damn PS3. Maybe I can convince mom that dad's ps2 needs an upgrade for Xmas.,"{'notes': '', 'label': ['1']}",1
17183, Do you like traveling? How often do you think you ride in a car?,"{'notes': '', 'label': ['0']}",0
4419,I hate games like this. All these people shouldn't be going down.,"{'notes': '', 'label': ['1']}",1
7285,Grammar nerd.,"{'notes': '', 'label': ['1']}",1
9742,Those things Freak. Me. Out.,"{'notes': '', 'label': ['0']}",0
17146, Did you ever get in trouble for talking in class?,"{'notes': '', 'label': ['0']}",0
1168,how did you meet dad BITCH!,"{'notes': '', 'label': ['1']}",1
15221,  :/ hmm i no lol,"{'notes': '', 'label': ['0']}",0
3345,Bill Donahue? Seriously? Ask him why he uses hate speech against gays  women and Jews and maybe I'd listen to his complaints,"{'notes': '', 'label': ['1']}",1
4661,point taken. fuck.,"{'notes': '', 'label': ['1']}",1
17903, Name everyone that made you smile this week,"{'notes': '', 'label': ['0']}",0
4080,the only thing I hate about Nikon is the dumb Ashton Kutcher ads they run.,"{'notes': '', 'label': ['1']}",1
1637,people hate to admit emotional decision making  though. manipulative  some think. the uphill climb of personal branding...,"{'notes': '', 'label': ['1']}",1
19617,  if thats what he'd wanna do then im not doing something right. so no but that shouldnt be an issue,"{'notes': '', 'label': ['0']}",0
18614, 1. Are you fake? 2. Who&;s Cheyenne  Taylor  Tarren  Samantha  Jessica. 3. Do you live in Montana? Cheyenne is the real one. 4. She also has videos of her in school etc. Why is your pics in photobucket,"{'notes': '', 'label': ['0']}",0
7345,Maybe they're looking for Carl!!!  That damn Carl.,"{'notes': '', 'label': ['1']}",1
2910,Slurpees are awesome. Damn  now I really really want one O.o,"{'notes': '', 'label': ['1']}",1
