content,y_pred,y_test
i'm giving you a heart cuz i'm assuming this is me and byron  if not i hate u but here &lt;3,0,0
to be specific he didnt choke her (right?) he bit her on the back while banging her in the ass. (just to be clear)... :),1,1
thanks hot ass! :P,0,0
I will cut you in the mouth bitch!,1,1
No fucking way!!  &gt;_&lt;  They aren't even an a'capella group!!,0,0
"I know  I hate that! It'd be one thing if Apple TV wasn't just a ""hobby""  but it is - shouldn't we all get us some HD content?",0,0
"oy. i hate dealing with technical support. those rat bastards ""accidentally"" hung up on me twice last night.",0,0
yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,1,1
  i dont do brands. i do the look. i like how it looks i buy it.,0,0
I HATE ART COMPLETELY! Did you have to do design and expressive and all that shite? I hate it!,0,0
hes goin dwn!we cld kick his ass n dominate him,1,1
"ITS FUCKING HILARIOUS""",0,0
 CAN YUH WAM?,0,0
 Which is better yogurt or pudding? What&;s your favorite flavor?,0,0
GET your fucking act together! Can't you see what a waste you are? Look around you fucktard  the world is waiting. TICK.TOCK.,0,0
wow! You're a real cunt!,0,1
 lol,0,0
  No,0,0
Tough time of year to keep the weight off. Without my bicycle commuting  I'd be hosed. Road bike has some dust on it. Damn...,0,0
I hate to open the flue after a long fall. We get birds or dead squirrels...totally scary!!!!!,1,1
rachel was having problems with her signal here at work...maybe verizon is fucking up?,0,0
Oh damn. Saw the trailer for Dark City&#8230; Looks gooood&#8230;,1,1
  Great question! Tithe Help people Shop!,0,0
  more than ever,0,0
yeah editing and processing stuff is fine  it's usually around exporting that ass drag takes affect.,0,0
 Why is sex so talked about?,0,0
  i dont think so?,0,0
pig pen is hotter :P,0,0
 cooool riddleee! :Dr did you gooogleeee it to find it or.....? :),0,0
ooh im sorry my non celibate ass mourns for ur celibacy and it sorry demise my condolences http://twurl.nl/a16z8c,1,1
Finally made it out.I hate being a procrastinator.&#58382;,1,1
  lol possibly,0,0
 What YouTube video made you laugh recently?,0,0
is the Black Bitch anywhere near Clever Dick's? http://tinyurl.com/axf82t,0,0
yeah it's terrible but tell ya the truth I'd hang any political figure from my Xmas tree I hate em all lol,0,0
this is why I like you man...Quick thinker. Come to think of it.. I haven't seen a pic of  mrs.Teacher at all.Damn thumbnail avs,0,0
Everyone knows .ass is inherently superior to .srt - it's in the format.,0,0
I prefer women to be fat in other places  anyway.  Fat toes and earlobes are so cute.,1,1
  Hhahahahaah ohh noo problem mamas! ahah me2 im soo exhaustedd *yawn* *ywan* LMAO!,0,0
  I dont ever rememeber peeing my pants?,0,0
  umm.. haha i dont know why you want to kn,0,0
ooooh! Don't make me come out there now! Whatchoo know about silk's freak me? Nah wait...you need to lose control first,1,0
enjoyed reading your article ! shame I have such a bitch for a boss ;-),1,1
I promise it'll go away as soon as @CalamityJen wakes up and kicks my ass.,1,1
 What amazes you the most?,0,0
  haha. does that really work on people? i am gullible at times but really?,0,0
AHHHHH FUCK! I didn't even realize it started snowinggggggg again.....arrrghghghghhhhh,0,0
was that a racial comment? on it's going down!! bitch!,1,1
 What is the last thing you watched on TV?,0,0
I read WP as WordPress but damn that is hilarious.,1,1
 If parents say  &quot;Never take candy from strangers&quot; then why do we celebrate Halloween?,0,0
  hehe oh i see (:,0,0
are you sure you know what your getting yourself into by following my twitter whore account?,0,0
Thank god! I hope they give that lying bitch the chair.,0,0
i hate you,1,1
  folded,0,0
fucking iPhone auto correct.,0,0
Fuck!  That just reminded me that I forgot to bring back the bagels from my grandma's!,0,0
  Thankss(: you're too kind,0,0
  I haven't been online for like three weeks hhaha,0,0
what if it could be all 3 that would stink on 2 levels  but I bet it is a fat bonus  or ur picking up his backyard,1,1
